,idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
263,d4049a,Importaciones Netas Energético Largo Plazo,2023-10-11T09:04:15.97,2026-06-15T18:19:31.54,2022-01-01T00:00:00,2031-05-01T00:00:00,2025-04-17T18:46:48.843,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=d4049a,https://www.simem.co/datadetail/d4049ac6-9083-4737-8551-ac0e629f84be,Público
264,b94b3c,Limitación de suministro en bolsa según la Res. CREG 001 de 2003,2023-09-29T21:57:06.05,2026-07-01T07:18:50.787,2013-02-15T00:00:00,2026-06-26T00:00:00,2025-04-22T08:15:24.74,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=b94b3c,https://www.simem.co/datadetail/b94b3c99-857b-4264-ae24-ac5e2076a18f,Público
265,9a1b87,Insumos para el Precio Marginal de Escasez,2025-10-30T10:16:39.22,2026-07-01T04:27:42.55,2017-12-01T00:00:00,2026-06-26T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=9a1b87,https://www.simem.co/datadetail/9a1b870e-3a12-414c-bdef-acb169da1f4c,Público
266,ff15e5,Disponibilidad asociada con arranque utilizando tecnología térmica a gas ciclo sting,2025-09-22T16:39:51.667,2026-07-01T04:32:02.06,2021-01-01T00:00:00,2026-06-24T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=ff15e5,https://www.simem.co/datadetail/ff15e5aa-0e8e-4e12-a538-addb7529b290,Público
267,a016ba,Pronóstico del CND de demanda por Área operativa,2023-09-28T22:45:56.75,2026-06-01T21:21:03.423,2020-11-01T00:00:00,2026-05-31T00:00:00,2025-04-29T20:49:30.727,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=a016ba,https://www.simem.co/datadetail/a016bac9-eaa1-45bb-8db2-ae01600e1d18,Público
268,f9d42a,Precios horarios futuros y estadísticas de los contratos entre agentes por comercializador y generador,2023-09-29T11:16:13.64,2026-06-03T08:54:06.243,2023-09-01T00:00:00,2031-05-01T00:00:00,2025-02-13T16:01:38.243,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=f9d42a,https://www.simem.co/datadetail/f9d42a43-e412-4777-89d3-ae76af8bcdcd,Público
269,861936,Generaciones candidatas a ser inflexibles,2023-09-28T20:27:03.407,2026-07-01T04:33:51.34,2021-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=861936,https://www.simem.co/datadetail/86193682-66b0-400b-af57-afa4e38dabf9,Público
270,547a91,Fondo de energía social (FOES),2025-10-29T10:02:06.157,2026-06-11T10:15:35.043,2025-08-01T00:00:00,2026-05-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=547a91,https://www.simem.co/datadetail/547a9108-27d4-4ddd-8e32-b05f024d1394,Público
271,09a70a,Indices VERE y VEREC Energético Largo Plazo,2023-10-11T09:06:04.61,2026-06-18T20:43:27.663,2022-01-01T00:00:00,2031-05-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=09a70a,https://www.simem.co/datadetail/09a70a19-f6f2-4585-b3ec-b1474c836807,Público
272,1237df,Bandera de arranque de plantas,2025-10-10T15:45:15.53,2026-07-01T04:34:09.177,2021-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=1237df,https://www.simem.co/datadetail/1237df6e-fe61-44cc-81cc-b2c1f07088c8,Público
